STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,COL,Colombia,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2018
Current well-being by age,COL,Colombia,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2019
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2010
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2011
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2012
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2013
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2014
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2015
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2016
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2017
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2018
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2019
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2020
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2021
Current well-being by age,DEU,Germany,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2022
Current well-being by age,IRL,Ireland,Voter turnout,Percentage of votes in the same subgroup,Middle-aged,Civic engagement,2016
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2007
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2008
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2009
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2010
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2011
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2012
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2013
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2014
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2015
Current well-being by age,EST,Estonia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2016
Current well-being by age,ISL,Iceland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2012
Current well-being by age,ISL,Iceland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2013
Current well-being by age,ISL,Iceland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2015
Current well-being by age,ISL,Iceland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2016
Current well-being by age,ISL,Iceland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2017
Current well-being by age,ISL,Iceland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2019
Current well-being by age,ISL,Iceland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2020
Current well-being by age,ISL,Iceland,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Subjective well-being,2021
Current well-being by age,COL,Colombia,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2018
Current well-being by age,COL,Colombia,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2019
Current well-being by age,COL,Colombia,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2020
Current well-being by age,COL,Colombia,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2021
Current well-being by age,COL,Colombia,Life satisfaction,0-10 scale,Middle-aged,Subjective well-being,2022
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2004
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2005
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2006
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2007
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2008
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2009
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2010
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2011
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2012
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2013
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2014
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2015
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2016
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2017
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2018
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2019
Current well-being by age,NOR,Norway,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2020
Current well-being by age,NLD,Netherlands,Satisfaction with time use,0-10 scale,Young,Work-life balance,2013
Current well-being by age,NLD,Netherlands,Satisfaction with time use,0-10 scale,Young,Work-life balance,2018
Current well-being by age,NLD,Netherlands,Satisfaction with time use,0-10 scale,Young,Work-life balance,2022
Current well-being by age,AUT,Austria,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,AUT,Austria,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2010
